"Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories"
1-Jan
102
"2019-01-03,""1,393"",0,0,0,""1,440"",0,0,0,0"
"2019-01-04,""1,705"",""2,210"",0.95,0,""1,320"",120,0,0,399"
"2019-01-05,""1,393"",0,0,0,""1,440"",0,0,0,0"
"2019-01-06,""1,866"",""4,612"",1.98,2,""1,255"",176,9,0,625"
"2019-01-07,""1,393"",0,0,0,""1,440"",0,0,0,0"
"2019-01-08,""2,235"",""10,846"",4.66,4,""1,148"",255,37,0,""1,074"""
"2019-01-09,""2,763"",""22,149"",9.5,4,979,388,64,9,""1,764"""
"2019-01-10,""1,800"",""5,455"",2.34,1,""1,280"",160,0,0,534"
"2019-01-11,""2,169"",""10,502"",4.5,4,""1,160"",273,4,3,""1,012"""
"2019-01-12,""2,684"",""20,274"",8.69,2,""1,014"",371,52,3,""1,647"""
"2019-01-13,""1,897"",""8,110"",3.48,2,""1,262"",163,15,0,648"
"2019-01-14,""2,197"",""12,949"",5.56,3,""1,183"",246,11,0,""1,014"""
"2019-01-15,""2,155"",""11,007"",4.72,0,""1,167"",236,37,0,974"
"2019-01-16,""1,782"",""4,026"",1.73,4,""1,314"",126,0,0,411"
"2019-01-17,""1,664"",""3,388"",1.61,5,""1,347"",74,6,13,332"
"2019-01-18,""1,557"",""2,503"",1.38,6,""1,405"",17,0,18,194"
"2019-01-19,""1,392"",0,0,0,""1,440"",0,0,0,0"
"2019-01-20,""1,695"",""2,634"",1.13,3,""1,298"",142,0,0,418"
"2019-01-21,""1,934"",""5,538"",2.37,15,""1,234"",206,0,0,703"
"2019-01-22,""2,082"",""9,953"",4.31,13,601,125,42,33,832"
"2019-01-23,""1,896"",""7,610"",3.31,26,""1,288"",108,18,26,613"
"2019-01-24,""2,169"",""11,488"",5.19,12,518,187,16,39,956"
"2019-01-25,""2,112"",""8,292"",3.57,17,661,191,14,22,902"
"2019-01-26,""1,538"",""2,626"",1.17,7,""1,101"",33,1,6,181"
"2019-01-27,""1,706"",""4,073"",2.1,1,""1,368"",27,20,25,376"
"2019-01-28,""2,060"",""9,871"",4.23,21,""1,242"",139,29,30,803"
"2019-01-29,""2,135"",""11,461"",5.28,16,745,126,30,42,902"
"2019-01-30,""2,178"",""11,381"",5.2,17,""1,219"",148,26,47,967"
"2019-01-31,""1,744"",""4,785"",2.42,5,""1,365"",29,9,37,423"
